layout,layoutCount,algorithm,iteration,cost,expandedNodes,score,result
small,1,astar,9,17,32,493,Win
small,1,bds,0,8,28,502,Win
small,1,bds,1,3,6,507,Win
small,1,bds,2,21,62,489,Win
small,1,bds,3,23,62,487,Win
small,1,bds,4,13,43,497,Win
small,1,bds,5,5,8,505,Win
small,1,bds,6,14,47,496,Win
small,1,bds,7,10,35,500,Win
small,1,bds,8,13,43,497,Win
small,1,bds,9,17,41,493,Win
small,2,dfs,0,37,43,473,Win
small,2,dfs,1,20,102,490,Win
small,2,dfs,2,12,12,498,Win
small,2,dfs,3,13,18,497,Win
small,2,dfs,4,34,72,476,Win
small,2,dfs,5,7,113,503,Win
small,2,dfs,6,35,65,475,Win
small,2,dfs,7,22,22,488,Win
small,2,dfs,8,25,93,485,Win
small,2,dfs,9,8,114,502,Win
small,2,bfs,0,21,96,489,Win
small,2,bfs,1,14,82,496,Win
small,2,bfs,2,8,20,502,Win
small,2,bfs,3,11,35,499,Win
small,2,bfs,4,16,77,494,Win
small,2,bfs,5,7,43,503,Win
small,2,bfs,6,13,72,497,Win
small,2,bfs,7,12,85,498,Win
small,2,bfs,8,3,9,507,Win
small,2,bfs,9,6,19,504,Win
small,2,ucs,0,21,96,489,Win
small,2,ucs,1,14,82,496,Win
small,2,ucs,2,8,20,502,Win
small,2,ucs,3,11,35,499,Win
small,2,ucs,4,16,77,494,Win
small,2,ucs,5,7,43,503,Win
small,2,ucs,6,13,72,497,Win
small,2,ucs,7,12,85,498,Win
small,2,ucs,8,3,9,507,Win
small,2,ucs,9,6,19,504,Win
small,2,astar,0,21,64,489,Win
small,2,astar,1,14,27,496,Win
small,2,astar,2,8,12,502,Win
small,2,astar,3,11,21,499,Win
small,2,astar,4,16,39,494,Win
small,2,astar,5,7,12,503,Win
small,2,astar,6,13,25,497,Win
small,2,astar,7,12,15,498,Win
small,2,astar,8,3,4,507,Win
small,2,astar,9,6,7,504,Win
small,2,bds,0,21,65,489,Win
small,2,bds,1,14,51,496,Win
small,2,bds,2,8,17,502,Win
small,2,bds,3,11,34,499,Win
small,2,bds,4,16,58,494,Win
small,2,bds,5,7,22,503,Win
small,2,bds,6,13,35,497,Win
small,2,bds,7,12,35,498,Win
small,2,bds,8,3,5,507,Win
small,2,bds,9,6,11,504,Win
small,3,dfs,0,11,14,499,Win
small,3,dfs,1,43,62,467,Win
small,3,dfs,2,14,113,496,Win
small,3,dfs,3,32,51,478,Win
small,3,dfs,4,46,74,464,Win
small,3,dfs,5,20,30,490,Win
small,3,dfs,6,42,92,468,Win
small,3,dfs,7,22,28,488,Win
small,3,dfs,8,48,69,462,Win
small,3,dfs,9,13,39,497,Win
small,3,bfs,0,9,34,501,Win
small,3,bfs,1,15,54,495,Win
small,3,bfs,2,8,24,502,Win
small,3,bfs,3,10,34,500,Win
small,3,bfs,4,4,17,506,Win
small,3,bfs,5,6,26,504,Win
