layout,algorithm,iteration,cost,expanded nodes,score,result
smallMaze,bfs,15,6,13,504,Win
smallMaze,bfs,16,26,93,484,Win
smallMaze,bfs,17,16,74,494,Win
smallMaze,bfs,18,1,1,509,Win
smallMaze,bfs,19,8,22,502,Win
smallMaze,bfs,20,11,44,499,Win
smallMaze,bfs,21,17,41,493,Win
smallMaze,bfs,22,27,74,483,Win
smallMaze,bfs,23,12,64,498,Win
smallMaze,bfs,24,18,85,492,Win
smallMaze,bfs,25,2,4,508,Win
smallMaze,bfs,26,4,10,506,Win
smallMaze,bfs,27,23,81,487,Win
smallMaze,bfs,28,16,20,494,Win
smallMaze,bfs,29,12,61,498,Win
smallMaze,bfs,30,13,43,497,Win
smallMaze,bfs,31,11,61,499,Win
smallMaze,bfs,32,21,64,489,Win
smallMaze,bfs,33,26,89,484,Win
smallMaze,bfs,34,20,74,490,Win
smallMaze,bfs,35,12,60,498,Win
smallMaze,bfs,36,19,52,491,Win
smallMaze,bfs,37,11,34,499,Win
smallMaze,bfs,38,6,16,504,Win
smallMaze,bfs,39,10,23,500,Win
smallMaze,bfs,40,24,93,486,Win
smallMaze,bfs,41,19,75,491,Win
smallMaze,bfs,42,11,63,499,Win
smallMaze,bfs,43,17,89,493,Win
smallMaze,bfs,44,12,58,498,Win
smallMaze,bfs,45,13,42,497,Win
smallMaze,bfs,46,7,33,503,Win
